% FILE: SampleData.1
%
%       t              y             y'
%   (seconds)      (meters)         (m/s)

  0.000000E+000  0.000000E+000  0.000000E+000
  1.000000E-001  1.665972E-004  4.995835E-003
  2.000000E-001  1.330697E-003  1.993342E-002
  3.000000E-001  4.479835E-003  4.466351E-002
  4.000000E-001  1.058171E-002  7.893901E-002
  5.000000E-001  2.057453E-002  1.224174E-001
  6.000000E-001  3.535761E-002  1.746644E-001
  7.000000E-001  5.578240E-002  2.351578E-001
  8.000000E-001  8.264401E-002  3.032933E-001
  9.000000E-001  1.166732E-001  3.783900E-001
  1.000000E+000  1.585291E-001  4.596977E-001
  1.100000E+000  2.087928E-001  5.464039E-001
  1.200000E+000  2.679611E-001  6.376423E-001
  1.300000E+000  3.364420E-001  7.325012E-001
  1.400000E+000  4.145504E-001  8.300329E-001
  1.500000E+000  5.025052E-001  9.292628E-001
  1.600000E+000  6.004266E-001  1.029200E+000
  1.700000E+000  7.083354E-001  1.128845E+000
  1.800000E+000  8.261525E-001  1.227202E+000
  1.900000E+000  9.537001E-001  1.323290E+000
  2.000000E+000  1.090703E+000  1.416147E+000
  2.100000E+000  1.236791E+000  1.504846E+000
  2.200000E+000  1.391504E+000  1.588501E+000
  2.300000E+000  1.554295E+000  1.666276E+000
  2.400000E+000  1.724537E+000  1.737394E+000
  2.500000E+000  1.901528E+000  1.801144E+000
  2.600000E+000  2.084499E+000  1.856889E+000
  2.700000E+000  2.272620E+000  1.904072E+000
  2.800000E+000  2.465012E+000  1.942222E+000
  2.900000E+000  2.660751E+000  1.970958E+000
  3.000000E+000  2.858880E+000  1.989993E+000
  3.100000E+000  3.058419E+000  1.999135E+000
  3.200000E+000  3.258374E+000  1.998295E+000
  3.300000E+000  3.457746E+000  1.987480E+000
  3.400000E+000  3.655541E+000  1.966798E+000
  3.500000E+000  3.850783E+000  1.936457E+000
  3.600000E+000  4.042521E+000  1.896758E+000
  3.700000E+000  4.229836E+000  1.848100E+000
  3.800000E+000  4.411858E+000  1.790968E+000
  3.900000E+000  4.587766E+000  1.725932E+000
  4.000000E+000  4.756803E+000  1.653644E+000
  4.100000E+000  4.918277E+000  1.574824E+000
  4.200000E+000  5.071576E+000  1.490261E+000
  4.300000E+000  5.216166E+000  1.400799E+000
  4.400000E+000  5.351602E+000  1.307333E+000
  4.500000E+000  5.477530E+000  1.210796E+000
  4.600000E+000  5.593691E+000  1.112153E+000
  4.700000E+000  5.699923E+000  1.012389E+000
  4.800000E+000  5.796165E+000  9.125010E-001
  4.900000E+000  5.882453E+000  8.134877E-001
  5.000000E+000  5.958924E+000  7.163378E-001
  5.100000E+000  6.025815E+000  6.220223E-001
  5.200000E+000  6.083455E+000  5.314833E-001
  5.300000E+000  6.132268E+000  4.456257E-001
  5.400000E+000  6.172765E+000  3.653071E-001
  5.500000E+000  6.205540E+000  2.913302E-001
  5.600000E+000  6.231267E+000  2.244341E-001
  5.700000E+000  6.250686E+000  1.652872E-001
  5.800000E+000  6.264602E+000  1.144805E-001
  5.900000E+000  6.273877E+000  7.252157E-002
  6.000000E+000  6.279416E+000  3.982971E-002
  6.100000E+000  6.282163E+000  1.673156E-002
  6.200000E+000  6.283090E+000  3.457903E-003
  6.300000E+000  6.283186E+000  1.413636E-004
  6.400000E+000  6.283451E+000  6.815081E-003
  6.500000E+000  6.284880E+000  2.341238E-002
  6.600000E+000  6.288459E+000  4.976741E-002
  6.700000E+000  6.295150E+000  8.561685E-002
  6.800000E+000  6.305887E+000  1.306025E-001
  6.900000E+000  6.321561E+000  1.842749E-001
  7.000000E+000  6.343014E+000  2.460978E-001
  7.100000E+000  6.371031E+000  3.154533E-001
  7.200000E+000  6.406332E+000  3.916487E-001
  7.300000E+000  6.449564E+000  4.739225E-001
  7.400000E+000  6.501292E+000  5.614527E-001
  7.500000E+000  6.562000E+000  6.533647E-001
  7.600000E+000  6.632081E+000  7.487402E-001
  7.700000E+000  6.711832E+000  8.466262E-001
  7.800000E+000  6.801457E+000  9.460446E-001
  7.900000E+000  6.901059E+000  1.046002E+000
  8.000000E+000  7.010642E+000  1.145500E+000
  8.100000E+000  7.130111E+000  1.243544E+000
  8.200000E+000  7.259270E+000  1.339155E+000
  8.300000E+000  7.397829E+000  1.431377E+000
  8.400000E+000  7.545401E+000  1.519289E+000
  8.500000E+000  7.701513E+000  1.602012E+000
  8.600000E+000  7.865603E+000  1.678720E+000
  8.700000E+000  8.037031E+000  1.748647E+000
  8.800000E+000  8.215083E+000  1.811093E+000
  8.900000E+000  8.398980E+000  1.865435E+000
  9.000000E+000  8.587882E+000  1.911130E+000
  9.100000E+000  8.780902E+000  1.947722E+000
  9.200000E+000  8.977110E+000  1.974844E+000
  9.300000E+000  9.175546E+000  1.992225E+000
  9.400000E+000  9.375225E+000  1.999693E+000
  9.500000E+000  9.575151E+000  1.997172E+000
  9.600000E+000  9.774327E+000  1.984688E+000
  9.700000E+000  9.971761E+000  1.962365E+000
  9.800000E+000  1.016648E+001  1.930426E+000
  9.900000E+000  1.035754E+001  1.889191E+000
  1.000000E+001  1.054402E+001  1.839072E+000
